id,prompt,step,cfg,sampler,width,height,token_count,timestamp
33000,"cyborg robot ninja mask terminator t 1 0 0 0 fanart artstation global illumination rtx hdr fanart arstation 3 d alejandro alvarez by jesper ejsing alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",20,7.0,8,512,512,61,0
8647,"alice in wonderland, dramatic lighting, city background, night, moon, chiaroscuro, high detail, painted by greg rutkowski, painted by igor kieryluk, painted by bobby chiu, trending on artstation ",20,7.0,8,512,512,48,0
7385,"cyberpunk viking helmet mask warrior goddess robot ninja fantasy, art gta 5 cover, official fanart behance hd artstation by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, ossdraws ",20,7.0,8,512,512,61,0
18065,"  painting in the style of Isaac Levitan, Savrasov, arkhip kuindzhi and ivan shishkin, T Allen Lawson and Ian Fisher and sidney richard percy, hunt, wide river and tiny house on the top of the hill, summer siberian forest taiga, coast, strong wind, road to the sea, low clouds after rain, wet grass, dream heavenly cloudy sky, horzon, hurricane stromy clouds, roads among fields, Alpes, small village, forests and mountains at sunset sunrise, volumetric lighting, very beautiful scenery, pastel colors, ultra view angle view",20,7.0,8,1024,512,122,0
40257,"logo carbon, tree, vector, icon, simple, mark ",20,7.0,8,512,512,12,0
8694,"a beautiful photorealistic grassland with rolling hills, illustrated by greg rutkowski and gaston bussiere, photorealistic imagery, artstation 3 d, artstation render, artstation 3 d render, 3 d art, unreal engine 3 d, octane 3 d, blender 3 d, 3 d landscape, 4 k, 8 k ",20,7.0,8,512,512,71,0
36409,"a single lone cyberpunk spaceship emerging from a galactic nebula, by moebius, highly detailed ",20,12.0,8,768,512,19,0
2834,"a cloes up portrait of a researcher in a white coat in front of a computer and screens in a painting from stalenhag, 4 k, 8 k, hdr, artstation ",20,7.0,8,768,896,38,0
23470,"pale teal metamorphosis , fantasy, intricate, elegant, dramatic lighting, emotionally evoking symbolic metaphor, highly detailed, lifelike, photorealistic, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by John Collier and Albert Aublet and Krenz Cushart and Artem Demura and Alphonse Mucha",44,16.0,8,768,512,77,0
20540,a Danish mountain,20,7.0,8,512,512,3,0
19338,"head and shoulders portrait of Felicia of Darkstalkers illustration, medium shot, intricate, elegant, highly detailed, digital art, ffffound, art by gil elvgren and sachin teng",20,13.0,8,512,512,41,0
12302,photograph of a man in the process of transmuting into smoke ,21,7.0,8,512,512,13,0
39237,"* soft tail * weasel bandit furry red - and - black male fursona, smirking, posed on a gritty industrial background by peder balke, dark industrial fantasy, deviantart contest winner, furry's fursona commission for furry art ",20,15.0,8,512,576,53,0
24324,Gordon Ramsay eating raw chicken,20,7.0,8,512,512,5,0
45642,"movie scene of a man and a robot having a moment of jealousy, movie still, cinematic composition, cinematic light, by david lynch ",20,7.0,8,1024,576,26,0
28037,"line drawings of human faces showing changing emotions, by Shel Silverstein",20,7.0,8,512,512,14,0
52467,"a portrait of brad pitt painted by beksinski, 4 k, very detailed ",20,7.0,8,512,512,16,0
56194,"trojan little girl, joyful, close - up portrait, intricate, elegant, volumetric lighting, scenery, digital painting, highly detailed, artstation, sharp focus, illustration, concept art, ruan jia, steve mccurry ",50,7.0,8,512,768,47,0
4716,"a colossal goddess, creative, brown skin, giant, digital art, in the city, in town, high quality, high angle, photo manipulation, down there, fire hair, digital painting, smoke, artstation, vibrant colors ",20,7.0,8,512,512,46,0
14195,"Fighter, female, fantasy, dramatic, intricate, elegant, highly detailed, digital painting,  artstation, concept art, smooth, sharp focus, illustration, art by Masamune Shirow, octane render",20,15.0,8,512,1024,42,0
38286,"cleric armor, metal robes, character concept art, silver with gold trim, fantasy art, extremely clean, extremely exaggerated proportions, trending on artstation, by stanley lau, by artgerm, by wlop, by greg rutkowski, 8 k ",20,10.0,8,512,768,53,0
30345,"Chris Hemsworth as a centaur, realistic, high definition.",20,7.0,8,512,512,13,0
41714,"full - body portrait surreal colorful clay fighting artstation rpg hindu god character concept art anatomy, action pose, very coherent and colorful high contrast masterpiece by norman rockwell franz sedlacek hieronymus bosch dean ellis rene magritte gediminas pranckevicius, dark shadows, sunny day, hard lighting, reference sheet white! background ",20,13.0,8,1408,512,70,0
58048,a cute elegant felt plush doll of a rabbit wearing overalls detailed highly realistic ,20,7.0,8,512,512,15,0
35334,"movie still frame, betty page in eternal intricate and baroque armor, diving in a psychedelic nebula in the background, intricate details, beautiful composition, 8 k, cgi, by ridley scott, james cameron, zack snyder and michael bay ",20,7.0,8,512,512,46,0
41009,"black and white vogue closeup portrait by herb ritts of a beautiful female model, mascara, high contrast ",20,7.0,8,512,512,22,0
3183,"a colorful portrait photograph of divine jumping to the swimming pool with flamingos, 1 9 9 0 s, diabolical cursed creepy dolls waiting in the water, poppy playtime style, taken by martin parr, saturated colour photo, high definition, 8 k ",20,7.0,8,1024,832,52,0
33481,"a woman looking over her shoulder dramatically, sci fi character portrait by moebius, matt rhodes, greg tocchini ",20,7.0,8,512,512,23,0
27024,"a diamond mine, lots of diamonds unearthed, a lights is being reflected all around the dark cave mine, luminous Color’s, murial art, concept art.",20,7.0,8,512,512,33,0
39338,"[ asian girl ]!! with long black hair, posing!!, screaming excitedly, trending on unsplash, professional photography, shot by jimmy nelson, slim aarons, hans bellmer, and peter kemp, pinterest portrait!! ",20,7.0,8,512,512,51,0
33530,"gediminas pranckevicius beautiful city of the future, overgrown with trees and plants. sinuous volumetric happy the patch, nice colour scheme, warm colour. beautiful artistic digital artwork by artist lurid. ( 2 0 2 2 ), ",20,20.0,8,1216,832,51,0
40606,abstract art of a farm landscape ,20,10.0,8,768,512,6,0
15773,"“Angelina Jolie portrait, Kristen Reichert”",20,7.0,8,512,512,10,0
