id,prompt,step,cfg,sampler,width,height,token_count
22782,FurAffinity,20,7.0,8,512,512,4
41291,"a [ gothic ]!, old, haunted, [ haunting ]! a forest [ beautiful ]!, 2 d realistic gothic style [ photorealism ]! 3 d gothic realistic art 3 d creepy ",20,7.0,8,512,512,40
54439,"super - intelligent robot with kind eyes portrait, grant wood, pj crook, edward hopper, oil on canvas ",50,7.0,8,512,512,22
42816,"close photographic portrait of a stunningly beautiful english renaissance female in soft dreamy light at sunset, beside the river, soft focus, contemporary fashion shoot, hasselblad nikon, in a denis villeneuve and tim burton movie, by edward robert hughes, annie leibovitz and steve mccurry, david lazar, jimmy nelsson, extremely detailed, breathtaking, hyperrealistic, perfect face ",50,15.0,8,512,512,84
49615,"face dripping with blue goo hyperrealistic portrait, photo realistic, poster, artstation, volumetric lighting, digital art, very detailed face by magali villeneuve ",20,7.0,8,512,512,33
15545,"a portrait of a cute young female Roman Centurion, Roman setting, vivid colors, soft lighting, atmospheric, cinematic, moody, in the style of Ilya Kuvshinov and Range Murata, Krenz Cushart, rule of thirds, oil on canvas, 8k",20,7.0,8,512,768,59
20839,Tom Cruise playing Daniel Plainview in There Will Be Blood,20,7.0,8,512,512,11
9566,"a face portrait of a young female vampire from skyrim, fantasy setting, beautiful face, dark colors, scary lighting, atmospheric, cinematic, moody, in the style of diego koi, gina heyer, luiz escanuela, art by alyssa monk, hyperrealism, rule of thirds, golden ratio, oil on canvas, 8 k ",32,10.0,8,704,960,71
4086,"soviet propaganda of robert mueller holding a hammer and sickle in realistic collective farm, by j. c. leyendecker, bosch, and beksinski ",20,7.0,8,512,512,32
56698,"cutest kitten ever wearing a pink bow, strong imagery, highly detailed, illustration, highly detailed water colour 8 k, cinematic lighting, hd, high detail, atmospheric, trending on artstation ",20,7.0,8,512,512,39
10152,tifa lockheart by masamune shirow ,20,3.0,8,512,512,10
25680,portrait of british shorthair cat sitting on piano keys with colorful musical notes in background,20,7.0,8,512,512,16
43080,"orientalism painting of a a knight by theodore ralli and nasreddine dinet and anders zorn and edwin longsden long, bronze age, sword and sorcery, oil on canvas, masterful intricate artwork, excellent lighting, high detail 8 k ",20,7.0,8,512,512,52
669,"a painting of a castle in the middle of a snowy mountain, a detailed matte painting by andreas rocha and greg rutkowski, featured on artstation, fantasy art, matte drawing, matte painting, artstation hq ",20,7.0,8,960,896,47
7579,a pattern of small marker paintings of street food with off - white background in black and white ,17,7.0,8,512,512,18
56093,"photo of a gorgeous young woman in the style of stefan kostic, realistic, half body shot, sharp focus, 8 k high definition, insanely detailed, intricate, elegant, art by stanley lau and artgerm ",50,12.0,8,512,704,44
39290,"octane render by josh pierce and prateek vatash and roman bratschi, inside a futuristic dreamscape liminal void, very dreamy and luxurious with premium materials and puffy floating clouds, arched window showing the ocean, cinema 4 d, 4 k, ray tracing reflections, volumetric lighting and shadows, haze, light beams ",20,10.0,8,1024,512,69
50900,"elegant full body portrait of a slim athletic muscular old mature angry batman, piercing bright red eyes, and pale skin, fantasy, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, matte, dramatic, full moon, art by artgerm and greg rutkowski and alphonse mucha, mark brookes, jim burns, tom bagshaw, artstation ",50,13.0,8,512,704,84
37220,"sakura haruno using slug sage mode, directed by shinichiro watanabe, animated film still, sakuga, high quality cinematography animation, realistic shaded lighting artgerm, kyoto animation and ufotable, studio pierrot ",20,7.0,8,768,512,47
52714,painting by ignacio diaz olano and jacek malczewski and edgar maxence and rhads and leyendecker. dark souls and bloodborne ,20,7.0,8,704,448,32
7930,"headshot edwardian photograph of dorian gray, extremely handsome, classicaly beautiful, 1 9 2 0 s, realistic face, 1 8 9 0 s, 1 9 0 0 s, very grainy, slightly blurry, victorian ",20,7.0,8,512,512,46
30051,"casino management video game screenshot, n64 (1998)",20,7.0,8,512,512,12
35078,"an inter - dimensional - doorway leading to an alien landscape on the street in 1 9 8 4, concept art for unreal engine 5, cinestill 5 0 d ",20,7.0,1,640,640,34
1606,photo of kim kardashian trapped inside a sewer grate ,20,7.0,8,512,512,13
35408,"red ink comic art eldritch portrait of a robert smith trent reznor hybrid as a lich by todd mcfarlane, brian bolland and mike mignola ",20,7.0,8,512,768,34
12126,the first minutes of world war iii ,20,7.0,8,512,512,7
26437,"young, immortal super soldier Ghandi in Gears of War and boy is he MAD!",20,7.0,8,512,512,18
13227,"doom ( 1 9 9 4 ), iso 3 d tabletop ",20,7.0,8,512,512,13
29415,portrait of Angelina Jolie in red dress by Modigliani,20,7.0,8,512,704,13
43515,bauhaus constrictive detailed portrait of cloris leachman at elderly age of 1 0 5 ,20,7.0,8,512,512,21
16872,"Hugo Chavez portrait by Hirohiko Araki, Araki style, JJBA, anime",20,7.0,8,512,640,18
43390,"a portrait of louis armstrong holding a white handkerchief, by julia condon, dramatic lighting, highly detailed digital painting ",20,6.0,8,512,704,22
28639,"Cybertron, environmental concept art of an octopus swimming in the air near a navigation deck onboard the Peaceful Tyranny DJD Deception spaceship goth Decepticons vibes, Deception and goth colors, clean, dramatic lighting, glowing red hologram navigation panels, cinematography by Wes Anderson, 4k octane render, photorealistic, cinematic lighting, Artstation",20,7.0,8,512,512,72
30615,"highly detailed digital painting, black male anthro - lynx, human with head of lynx, viking hair, gold earring in ear, with long thick wavy braided viking hair like fabio, facial scar, hairy masculine gigachad, muscular, wearing kilt and gold armbands, fur texture, as space viking, classic science fiction, trending on artstation, romance novel, ",20,7.0,8,512,512,79
57029,"of a lake filled with ice - cream with strange cute friendly happy creatures with huge eyes, mouth, long tongue and round teeth appearing from the lake, in the style of gehry and giger, macro lens, shallow depth of field, highly detailed, digital painting, trending artstation, concept art, illustration, cinematic lighting, vibrant colors, photorealism, epic, octane render ",44,10.0,8,1024,512,80
37483,a watercolour children's book illustration of cute zombie boy in a bucket hat ,20,7.0,8,512,512,17
13561,"a mini australian shepard, wearing rubber boots!!!, while picking strawberries",20,7.0,8,512,512,16
10350,"a black and white photo of a young man, a character portrait by henry justice ford, tumblr, harlem renaissance, 1 9 2 0 s, studio portrait, tintype photograph ",20,7.0,8,512,512,37
23034,"pulp art, 1930s, 1970s hippie cloth style, medieval young girl with wooden jewelry, wearing rich jewerly, hat and boho poncho, decollete, bikini, sunglasses, fantasy character, low view, artwork by Joseph Leyendecker and Hugh Ferriss and gil elvgren and ilya repin and Greg Manchess, illustration, volumetric light, geometric shapes, impressionism, soviet paintings, 3d octane blender render, progressive rock album cover",20,7.0,8,640,768,98
25671,"alternate outfit of tifa lockhart by WLOP, rossdraws, Logan Cure, Mingchen Shen, BangkuART, sakimichan, yan gisuka, JeonSeok Lee, zeronis, Chengwei Pan on artstation",26,7.5,8,512,512,51
39460,"high detail portrait man green knight necromancer in helmet, green, green smoke, fantasy, warcraft, world of warcraft, lich king, arthas magic 4 k, artstation, game art ",20,5.0,8,512,704,43
53495,"a still from the anime date alive, kurumi portrait, dynamic lighting, photorealistic fantasy concept art, trending on art station, stunning visuals, creative, cinematic, ultra detailed ",50,7.0,8,512,832,38
4601,"frank the rabbit in donnie darko, airbrush, drew struzan illustration art, key art, movie poster ",20,7.0,8,512,640,23
4835,"giant amethyst crystal in a clearing in a fairytale enchanted woodland, starry moonlit sky, ethereal, david attenborough nature documentry footage, ultra high definition, 8 k ",20,7.0,8,512,512,39
10168,"hell, my little pony, lovecraft!!! ",20,5.0,8,512,512,11
29746,colorful furry cute hedgehog 3d render,20,7.0,8,512,512,7
26850,concept art of mouse,20,7.0,8,512,512,4
4683,"movie still of a transcendental astronaut being, cinematic composition, cinematic light, anamorphic lens ",20,7.0,8,896,512,19
894,"an ornate yellow planet amassed with water, with neighboring interstellar satellites, digital art, trending on artstation, atmospheric perspective!!!!!, golden ratio!!!!!, centered!!!!!, cgsociety contest winner ",20,7.0,8,512,512,53
15747,"a photorealistic painting of an iceberg shaped like a pyramid, half-half underwater photo, 8K, digital art, detailed intricate elegant, octane render",20,7.0,8,512,512,33
59102,"huge armless rat, 3d render",20,7.0,8,512,512,7
6773,"a grass land and ruins and small fixed bustling village and tan pathways, 4 k, 8 k, photorealistic landscape, landscape imagery, 4 k luminous lighting, volumetric lighting, ",20,7.0,8,768,512,38
398,close up of a robot holding an umbrella in a raining night in new york city neon lights moody 2 0 0 mm shot dark retrowave ,20,7.0,8,512,512,27
15243,"a photo of a delicious scrumptious waffle in the shape of a skull with syrup, food photography",20,7.0,8,512,512,22
20139,"highly realistic, symmetrical image, coherent image, high customization, 2. Sigara aşırmak, Phil Photos La dernière cigarette, Фото Девушка курит, Ragazza splendida con la sigaretta Fotografia Stoc, Smoking woman, Ελληνίδες καπνίστριες: Ο καρκίνος του πνεύμονα",50,14.0,8,512,512,105
14312,"breathtaking detailed painting of clown girl , with anxious, piercing eyes, Atari game cover art by Hsiao-Ron Cheng, James jean, Miho Hirano, Hayao Miyazaki, extremely moody lighting, hyperrealistic, octane render, RPG portrait, ambient light, dynamic lighting",20,7.0,8,512,512,60
41016,"black and white vogue closeup portrait by herb ritts of a beautiful female model, thai, high contrast ",20,7.0,8,512,512,22
36760,"a old paper with an ancient medieval thinking man disperse ultra - detailed writing and draws, blue ballpoint pen, annotations and scratches, 1 2 0 0 dpi, 8 k ",20,14.0,8,512,512,37
20651,"Concept art of random World War 2 cinematic scenes in winter, german and soviet soldiers, german and soviet tanks firing, some tanks destroyed, fire and grey smoke, boixcar style, matte painting, vaporwave vaporwave vaporwave watercolor cover art with warm and vibrant colors, volumetric light, art by Julian Totino Tedesco and Alex Ross, award-winning masterpiece with incredible and beautiful details digital art, trending on artstation, smooth, HD, 4K",20,7.0,8,704,896,97
42075,"mickey mouse giving electroshock therapy to a child, by frank frazetta, simon bisley, brom ",20,7.0,8,512,512,23
40182,"bibimbap restaurant, cute illustration, by hiroshi nagai, isometric view ",20,7.0,8,512,512,17
34248,"breath taking macro photo of flowering crimson red gentian flowers with canary yellow interiors, covered in early morning dew. backlit by the morning sun. bokeh. ",20,7.0,8,512,512,33
9114,"thom yorke singer songwriter in a spacesuit filling up with water, black background, glass reflecting light reflections, waterline in visor, ultrafine detail, hyper realistic face, beautiful blue eyes, black spherical pupils, eyes reflecting into eyes reflecting into infinity, eyes reflecting into eyes reflecting into infinity ",17,3.8,2,512,512,59
58788,"Lemon Demon, a yellow lemon with black eyes, sharp teeth and red demon horns",20,7.0,8,512,512,16
20977,"gorgeous actress wearing a tanktop, with light blonde shoulder-length hair, in the style of Ilya Kuvshinov and mark arian",50,7.0,8,512,512,29
30722,"the goddess of the moon, hyper detailed, hyper realism, hyper surrealism, rendered in octane, 8 k, rpg concept art, jrpg character, alejandro jodorowsky ",20,7.0,8,512,576,37
6156,"somerton man, 1 9 4 8 photo ",20,7.0,8,512,512,9
42083,playstation 4 catching fire ,20,7.0,8,512,512,4
53160,"peasant girl with long hair yarn knitting, cottage core, cinematic focus, polaroid photo bleached vintage pastel colors high - key lighting, soft lights, foggy, by steve hanks, by lisa yuskavage, by serov valentin, by tarkovsky, 8 k render, detailed, oil on canvas ",29,8.0,8,832,640,65
1596,"photographic portrait of a stunningly beautiful renaissance beyonce with celtic tribal makeup in soft dreamy light at sunset, contemporary fashion shoot, by edward robert hughes, annie leibovitz and steve mccurry, david lazar, jimmy nelsson, breathtaking, 8 k resolution, extremely detailed, beautiful, establishing shot, artistic, hyperrealistic, beautiful face, octane render ",50,7.0,8,512,704,77
33491,"identikit picture of a criminal in the newspaper, low detail, low face b & w ",20,10.0,8,512,512,20
50187,"photo of a gaming computer with a futuristic city inside, 8 k, 8 5 mm f 1. 8 ",20,7.0,8,512,704,21
58022,"an alien fruit, photorealistic, 8 k, food photography, trending on artstation ",20,7.0,8,512,512,19
21414,The Augsburg Book of Miracles,20,7.0,8,512,512,5
22245,"the Portal Gun from portal in the 1950's, award winning, hdr, octane renderer,",20,7.0,8,512,512,22
3942,cyberpunk art by josan gonzalez and zdzislaw beksinski. ,35,7.0,8,512,640,18
29416,"hyperrealistic up close eye painted in thick impasto style, hd iris texture trending on ArtStation",20,7.0,8,512,512,22
28378,"an very old wizard is is a cyborg, half his face is technology, cyberpunk, exobiology, hyper realistic, hyper detailed, realistic picture, epic game, high angle shot, Long shot, 4k post-processing highly detailed, , 35mm, Kodachrome film, photograph",50,13.0,6,512,512,61
39628,"atompunk denis coderre | | fine detail!! anime!! realistic shaded lighting!! dark scifi award winning illustration portrait of radio host, montreal canada, by ilya kuvshinov katsuhiro otomo, ghost - in - the - shell, magali villeneuve, artgerm, jeremy lipkin and michael garmash and rob rey ",20,11.5,8,512,768,75
