id,prompt,step,cfg,sampler,width,height,token_count,timestamp
56698,"cutest kitten ever wearing a pink bow, strong imagery, highly detailed, illustration, highly detailed water colour 8 k, cinematic lighting, hd, high detail, atmospheric, trending on artstation ",20,7.0,8,512,512,39,2
57963,"shiba on the moon fantasy art heartstone video game icon, 2 d game art gta cover, official fanart behance hd artstation by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws ",20,7.0,8,512,512,63,4
18622,photorealistic 50mm of evil Donald Trump,20,7.0,8,512,512,9,6
49665,"very very beautiful furry art, bust profile picture of a male robotic anthro dolphin, synthetic cetacean hybrid android, face covered by dark fully opaque visor, wide bottlenose snout below visor, sleek round shapes, all ultramarine metal, integrated design, commission on furaffinity, cgsociety, octane render, sea in background ",50,8.0,8,512,512,76,9
31741,guys from berserk ,20,7.0,8,512,512,5,12
19319,"quarter length photograph of a 10 year old girl, red hair, freckles, studio quality, studio lighting",20,7.0,8,512,512,22,15
58022,"an alien fruit, photorealistic, 8 k, food photography, trending on artstation ",20,7.0,8,512,512,19,17
4835,"giant amethyst crystal in a clearing in a fairytale enchanted woodland, starry moonlit sky, ethereal, david attenborough nature documentry footage, ultra high definition, 8 k ",20,7.0,8,512,512,39,20
56347,"photo of the modern room as aquarium with a big jellyfish and corals, realistic colors, realistic shadows, daylight made in blender, 3 d by beeple and damian hirst ",20,7.0,8,512,512,37,23
53527,"movie still of super spy agent cyborg, cinematic composition, cinematic light, by alejandro jodorosky ",20,7.0,8,512,512,21,25
21845,"urban school zombie girl in tattered clothes crying blood fanart, dark blue long hair, muted colors, matte print, pastel colors, ornate, digital art, cute smile, digital painting, fan art, elegant, pixiv, by Ilya Kuvshinov, by Studio Ghibli",20,7.0,8,512,768,63,27
20884,"50 year old black haired man with very short hair, buzz cut,  round face, square face, round jaw, wide chin , romanian, silver silver glasses,  romanian heritage, brown eyes, brown eyes, olive skin, round nose, round chin, clean shaven wide face,smiling, thin lips, digital art, concept art, cgsociety, painterly, painting, 8k, illustration, painting, dramatic,  beautiful, art by loish loish loish, cartoon, stylized  painterly, trending on artstation, medium shot, uncropped ",20,20.0,8,512,512,116,30
56510,"arc hallway for secret overwatch living quarters carved inside a cave surrounding a lush garden, trimmed, magical, natural light, clean lines, cozy, fantasy, minimalist architecture, sharp focus, concept art, by greg rutkowski and craig mullins,, octane render 8 k ",20,8.0,8,768,768,57,32
42083,playstation 4 catching fire ,20,7.0,8,512,512,4,35
40999,sunset in a japanese village by osamu tezuka ,20,7.0,8,512,512,11,37
44913,donald trump as a calico critters ,20,7.0,8,512,512,9,39
43390,"a portrait of louis armstrong holding a white handkerchief, by julia condon, dramatic lighting, highly detailed digital painting ",20,6.0,8,512,704,22,42
37998,"portrait of a bicolor cat thief in a scenic urban environment by jesper ejsing and eddie mendoza, night ",20,7.0,8,512,512,23,44
30450,"1990s 3D modeling software interface screenshot, sphere in the middle of the ground plane",20,7.0,8,640,512,16,46
40102,"beautiful young male prince orientalism expressive face detail by theodore ralli and nasreddine dinet and anders zorn and edwin longsden long and wlop, bronze age, ancient world, oil on canvas, masterful intricate artwork, excellent lighting, high detail 8 k ",20,7.0,8,512,768,55,48
28075,Neoclassicist rave party,20,7.0,8,1024,1024,6,50
38705,"greg manchess oil matte painting, anthropomorphic thresher shark with a lightsaber fighting a blond knight, fantasy, wonderful masterpiece highly detailed, scifi, beautiful cinematic light deep focus, elegant, digital painting, smooth, sharp focus, golden ratio, dramatic illumination, ultra realistic, 4 k, art by greg rutkowski wlop rossdraws ",20,7.0,8,704,512,77,53
44448,"kcs logo, minimalistic icon in black, red, and purple ",20,7.0,8,512,512,14,56
