id,prompt,step,cfg,sampler,width,height,token_count,timestamp
22782,FurAffinity,20,7.0,8,512,512,4,0
41291,"a [ gothic ]!, old, haunted, [ haunting ]! a forest [ beautiful ]!, 2 d realistic gothic style [ photorealism ]! 3 d gothic realistic art 3 d creepy ",20,7.0,8,512,512,40,0
54439,"super - intelligent robot with kind eyes portrait, grant wood, pj crook, edward hopper, oil on canvas ",50,7.0,8,512,512,22,0
42816,"close photographic portrait of a stunningly beautiful english renaissance female in soft dreamy light at sunset, beside the river, soft focus, contemporary fashion shoot, hasselblad nikon, in a denis villeneuve and tim burton movie, by edward robert hughes, annie leibovitz and steve mccurry, david lazar, jimmy nelsson, extremely detailed, breathtaking, hyperrealistic, perfect face ",50,15.0,8,512,512,84,0
49615,"face dripping with blue goo hyperrealistic portrait, photo realistic, poster, artstation, volumetric lighting, digital art, very detailed face by magali villeneuve ",20,7.0,8,512,512,33,0
15545,"a portrait of a cute young female Roman Centurion, Roman setting, vivid colors, soft lighting, atmospheric, cinematic, moody, in the style of Ilya Kuvshinov and Range Murata, Krenz Cushart, rule of thirds, oil on canvas, 8k",20,7.0,8,512,768,59,0
20839,Tom Cruise playing Daniel Plainview in There Will Be Blood,20,7.0,8,512,512,11,0
9566,"a face portrait of a young female vampire from skyrim, fantasy setting, beautiful face, dark colors, scary lighting, atmospheric, cinematic, moody, in the style of diego koi, gina heyer, luiz escanuela, art by alyssa monk, hyperrealism, rule of thirds, golden ratio, oil on canvas, 8 k ",32,10.0,8,704,960,71,0
4086,"soviet propaganda of robert mueller holding a hammer and sickle in realistic collective farm, by j. c. leyendecker, bosch, and beksinski ",20,7.0,8,512,512,32,0
56698,"cutest kitten ever wearing a pink bow, strong imagery, highly detailed, illustration, highly detailed water colour 8 k, cinematic lighting, hd, high detail, atmospheric, trending on artstation ",20,7.0,8,512,512,39,0
10152,tifa lockheart by masamune shirow ,20,3.0,8,512,512,10,0
25680,portrait of british shorthair cat sitting on piano keys with colorful musical notes in background,20,7.0,8,512,512,16,0
43080,"orientalism painting of a a knight by theodore ralli and nasreddine dinet and anders zorn and edwin longsden long, bronze age, sword and sorcery, oil on canvas, masterful intricate artwork, excellent lighting, high detail 8 k ",20,7.0,8,512,512,52,0
669,"a painting of a castle in the middle of a snowy mountain, a detailed matte painting by andreas rocha and greg rutkowski, featured on artstation, fantasy art, matte drawing, matte painting, artstation hq ",20,7.0,8,960,896,47,0
7579,a pattern of small marker paintings of street food with off - white background in black and white ,17,7.0,8,512,512,18,0
56093,"photo of a gorgeous young woman in the style of stefan kostic, realistic, half body shot, sharp focus, 8 k high definition, insanely detailed, intricate, elegant, art by stanley lau and artgerm ",50,12.0,8,512,704,44,0
39290,"octane render by josh pierce and prateek vatash and roman bratschi, inside a futuristic dreamscape liminal void, very dreamy and luxurious with premium materials and puffy floating clouds, arched window showing the ocean, cinema 4 d, 4 k, ray tracing reflections, volumetric lighting and shadows, haze, light beams ",20,10.0,8,1024,512,69,0
50900,"elegant full body portrait of a slim athletic muscular old mature angry batman, piercing bright red eyes, and pale skin, fantasy, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, matte, dramatic, full moon, art by artgerm and greg rutkowski and alphonse mucha, mark brookes, jim burns, tom bagshaw, artstation ",50,13.0,8,512,704,84,0
37220,"sakura haruno using slug sage mode, directed by shinichiro watanabe, animated film still, sakuga, high quality cinematography animation, realistic shaded lighting artgerm, kyoto animation and ufotable, studio pierrot ",20,7.0,8,768,512,47,0
52714,painting by ignacio diaz olano and jacek malczewski and edgar maxence and rhads and leyendecker. dark souls and bloodborne ,20,7.0,8,704,448,32,0
7930,"headshot edwardian photograph of dorian gray, extremely handsome, classicaly beautiful, 1 9 2 0 s, realistic face, 1 8 9 0 s, 1 9 0 0 s, very grainy, slightly blurry, victorian ",20,7.0,8,512,512,46,0
30051,"casino management video game screenshot, n64 (1998)",20,7.0,8,512,512,12,0
35078,"an inter - dimensional - doorway leading to an alien landscape on the street in 1 9 8 4, concept art for unreal engine 5, cinestill 5 0 d ",20,7.0,1,640,640,34,0
1606,photo of kim kardashian trapped inside a sewer grate ,20,7.0,8,512,512,13,0
35408,"red ink comic art eldritch portrait of a robert smith trent reznor hybrid as a lich by todd mcfarlane, brian bolland and mike mignola ",20,7.0,8,512,768,34,0
12126,the first minutes of world war iii ,20,7.0,8,512,512,7,0
26437,"young, immortal super soldier Ghandi in Gears of War and boy is he MAD!",20,7.0,8,512,512,18,0
13227,"doom ( 1 9 9 4 ), iso 3 d tabletop ",20,7.0,8,512,512,13,0
29415,portrait of Angelina Jolie in red dress by Modigliani,20,7.0,8,512,704,13,0
43515,bauhaus constrictive detailed portrait of cloris leachman at elderly age of 1 0 5 ,20,7.0,8,512,512,21,0
16872,"Hugo Chavez portrait by Hirohiko Araki, Araki style, JJBA, anime",20,7.0,8,512,640,18,0
43390,"a portrait of louis armstrong holding a white handkerchief, by julia condon, dramatic lighting, highly detailed digital painting ",20,6.0,8,512,704,22,0
28639,"Cybertron, environmental concept art of an octopus swimming in the air near a navigation deck onboard the Peaceful Tyranny DJD Deception spaceship goth Decepticons vibes, Deception and goth colors, clean, dramatic lighting, glowing red hologram navigation panels, cinematography by Wes Anderson, 4k octane render, photorealistic, cinematic lighting, Artstation",20,7.0,8,512,512,72,0
30615,"highly detailed digital painting, black male anthro - lynx, human with head of lynx, viking hair, gold earring in ear, with long thick wavy braided viking hair like fabio, facial scar, hairy masculine gigachad, muscular, wearing kilt and gold armbands, fur texture, as space viking, classic science fiction, trending on artstation, romance novel, ",20,7.0,8,512,512,79,0
57029,"of a lake filled with ice - cream with strange cute friendly happy creatures with huge eyes, mouth, long tongue and round teeth appearing from the lake, in the style of gehry and giger, macro lens, shallow depth of field, highly detailed, digital painting, trending artstation, concept art, illustration, cinematic lighting, vibrant colors, photorealism, epic, octane render ",44,10.0,8,1024,512,80,0
37483,a watercolour children's book illustration of cute zombie boy in a bucket hat ,20,7.0,8,512,512,17,0
13561,"a mini australian shepard, wearing rubber boots!!!, while picking strawberries",20,7.0,8,512,512,16,0
10350,"a black and white photo of a young man, a character portrait by henry justice ford, tumblr, harlem renaissance, 1 9 2 0 s, studio portrait, tintype photograph ",20,7.0,8,512,512,37,0
23034,"pulp art, 1930s, 1970s hippie cloth style, medieval young girl with wooden jewelry, wearing rich jewerly, hat and boho poncho, decollete, bikini, sunglasses, fantasy character, low view, artwork by Joseph Leyendecker and Hugh Ferriss and gil elvgren and ilya repin and Greg Manchess, illustration, volumetric light, geometric shapes, impressionism, soviet paintings, 3d octane blender render, progressive rock album cover",20,7.0,8,640,768,98,0
25671,"alternate outfit of tifa lockhart by WLOP, rossdraws, Logan Cure, Mingchen Shen, BangkuART, sakimichan, yan gisuka, JeonSeok Lee, zeronis, Chengwei Pan on artstation",26,7.5,8,512,512,51,0
39460,"high detail portrait man green knight necromancer in helmet, green, green smoke, fantasy, warcraft, world of warcraft, lich king, arthas magic 4 k, artstation, game art ",20,5.0,8,512,704,43,0
53495,"a still from the anime date alive, kurumi portrait, dynamic lighting, photorealistic fantasy concept art, trending on art station, stunning visuals, creative, cinematic, ultra detailed ",50,7.0,8,512,832,38,0
4601,"frank the rabbit in donnie darko, airbrush, drew struzan illustration art, key art, movie poster ",20,7.0,8,512,640,23,0
4835,"giant amethyst crystal in a clearing in a fairytale enchanted woodland, starry moonlit sky, ethereal, david attenborough nature documentry footage, ultra high definition, 8 k ",20,7.0,8,512,512,39,0
10168,"hell, my little pony, lovecraft!!! ",20,5.0,8,512,512,11,0
29746,colorful furry cute hedgehog 3d render,20,7.0,8,512,512,7,0
26850,concept art of mouse,20,7.0,8,512,512,4,0
